"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008M01","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2008M01","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2008M01","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"2008M01","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2008M01","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.3",""
"2008M01","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2008M01","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M01","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2008M01","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2008M01","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2008M01","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M01","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2008M01","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2008M01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.9",""
"2008M01","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"2008M01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2",""
"2008M01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M01","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7","i"
"2008M01","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1",""
"2008M01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.8",""
"2008M01","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2",""
"2008M01","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2008M01","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2008M01","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.7",""
"2008M01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.8",""
"2008M01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.4",""
"2008M01","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2008M01","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0",""
"2008M01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2008M01","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M01","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M01","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2008M01","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2008M01","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.9",""
"2008M02","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2008M02","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2008M02","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1",""
"2008M02","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6",""
"2008M02","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.1",""
"2008M02","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2008M02","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2008M02","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2008M02","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2008M02","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2008M02","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M02","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.9",""
"2008M02","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2008M02","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.9",""
"2008M02","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2008M02","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2",""
"2008M02","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2008M02","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2008M02","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0",""
"2008M02","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2008M02","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M02","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2008M02","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2008M02","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M02","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2008M02","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.3",""
"2008M02","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2008M02","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2008M02","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2008M02","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M02","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.5",""
"2008M02","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2008M02","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2008M02","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.0",""
"2008M03","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2008M03","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2008M03","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0",""
"2008M03","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M03","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.2",""
"2008M03","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2008M03","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M03","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"2008M03","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2008M03","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2008M03","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M03","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"2008M03","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2008M03","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.8",""
"2008M03","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2008M03","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2008M03","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2008M03","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2008M03","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
"2008M03","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2008M03","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2008M03","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2008M03","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2008M03","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M03","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5",""
"2008M03","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.2",""
"2008M03","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"2008M03","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2008M03","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"2008M03","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M03","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M03","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2008M03","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2008M03","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.8",""
"2008M04","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2008M04","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2008M04","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
"2008M04","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M04","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.1",""
"2008M04","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2008M04","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5","i"
"2008M04","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"2008M04","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2008M04","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.0",""
"2008M04","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M04","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"2008M04","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2008M04","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.5",""
"2008M04","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"2008M04","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2008M04","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2008M04","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2008M04","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2008M04","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"2008M04","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.0",""
"2008M04","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2008M04","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2008M04","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M04","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2008M04","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.2",""
"2008M04","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"2008M04","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M04","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2008M04","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"2008M04","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.3",""
"2008M04","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2008M04","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2008M04","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.9",""
"2008M05","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2008M05","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"2008M05","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.8",""
"2008M05","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2",""
"2008M05","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.1",""
"2008M05","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2008M05","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1",""
"2008M05","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"2008M05","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M05","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.4",""
"2008M05","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2008M05","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2008M05","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2008M05","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"2008M05","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"2008M05","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.3",""
"2008M05","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.8",""
"2008M05","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
